reference,date,type,sex,age,name,origin,ethnicity,colour,owner/seller,buyer,price,currency
39/13,1296-10-28,testamentary manumission,male,,Nicola,,,,Petrus,,,
39/13,1296-10-28,testamentary manumission,female,,Cali,,,,Pilusus of Genoa,,,
39/13,1296-10-28,testamentary manumission,female,,Catalina,,,,Pilusus of Genoa,,,
39/30,1297-02-03,manumission,female,,Anna,,Greek,,Giacoma wife of Giovanni Balistarius,,,
39/31,1297-02-09,manumission,female,,Cali,,Greek,,"Leo, son of papa di Mirano",,,
39/31,1297-02-09,manumission,,,child of Cali,,Greek,,"Leo, son of papa di Mirano",,,
39/38,1297-03-21,manumission,male,,Ianinus,,Greek,,Iohannes de Porta resident of Nicosia,,,
39/87,1297-12-06,testamentary manumission,female,,Maria,,,,Luchetus de Clavaro resident of Nicosia,,,
39/97,1299-02-06,manumission,male,,Iane,,Greek,,Richobonus residnet of Famagusta,,,
39/107,1299-03-14,sale,female,12,Sayda,,,black,Isabelle,Iohannes,150,Cypriot white bezants
39/145,1299-05-22,manumission,male,5,Venturinus,,baptized,brown,Ricobonus Octellus of Genoa,,,
AOL 42,1300-02-02,inventory,male,,,,Greek,,Salvetus Pezagni of Genoa,,,
AOL 42,1300-02-02,inventory,male,,,,Greek,,Salvetus Pezagni of Genoa,,,
AOL 42,1300-02-02,inventory,male,,,,Tatar,,Salvetus Pezagni of Genoa,,,
AOL 42,1300-02-02,inventory,male,,,,,,Salvetus Pezagni of Genoa,,,
AOL,1300-03-15,sale,male,12,,Spain,,,Ugolinus,Iohannes,129,Cypriot white bezants
AOL 91,1300-03-31,sale,male,9,Heiosefe,,Saracen,brown,Antonius de Naulo of Genoa,Galiano de Ravello de Savona (Genoese),6,florins
AOL 95,1300-04-06,sale,male,10,Aperus,,Saracen,olive,Percival de Camulio ,Guillelmo Alpano,,
AOL 97,1300-04-09,manumission,female,,Elena,,,,Thomas de Viride of Genoa,,,
