NAME,CLASS,POLITICS,IN ALBERGHI
ADORNO,MERCANTI,GHIBELLINI,
AIROLO,ARTEFICI,GHIBELLINI,
ALBARIO,"MERCANTI, ARTEFICI",GHIBELLINI,
ALBENGA,NOBILI,GHIBELLINI,DORIA
ALIANDOLA,ARTEFICI,GHIBELLINI,
ALLEGRI,MERCANTI,GUELFI,
ALZATI,MERCANTI,GUELFI,
AMICO,MERCANTI,GUELFI,
ANDORIA,MERCANTI,GHIBELLINI,
ANFOSSI,NOBILI,GHIBELLINI,PINELLI
ANFOSSI,NOBILI,"GHIBELLINI, GUELFI",INTERIANO
ANGIOINO,NOBILI,GUELFI,CALVI
APROSIO,NOBILI,GHIBELLINI,PINELLI
ARANGI,MERCANTI,"GHIBELLINI, GUELFI",GIUSTINIANI
ARCAISTI,NOBILI,"GHIBELLINI, GUELFI",CIBO
ARCANTI,NOBILI,GHIBELLINI,PALLAVICINI
ARCHERI,NOBILI,GUELFI,CALVI
ARDIMENTI,NOBILI,GHIBELLINI,PINELLI
ARDIZZONE,NOBILI,GUELFI,LERCARI
ARQUATA,ARTEFICI,GUELFI,
AVVOCATI,NOBILI,GUELFI,GENTILE
BACIADONNE,"MERCANTI, ARTEFICI",GHIBELLINI,
BAIONE,NOBILI,GHIBELLINI,SPINOLA
BALDISSONE,NOBILI,"GHIBELLINI, GUELFI",CIBO
BALLANO,ARTEFICI,GHIBELLINI,
"BANCA, DE",MERCANTI,GUELFI,GIUSTINIANI
BANCIIERI,NOBILI,GUELFI,GENTILE
BASSIGNANI,ARTEFICI,GHIBELLINI,
BATTAGLIA,MERCANTI,GHIBELLINI,
BATTIGATTI,NOBILI,GHIBELLINI,GRILLO
BAZURRO,ARTEFICI,GHIBELLINI,
BECCHIGNONE,NOBILI,GHIBELLINI,CENTURIONE
BELLOCCHIO,MERCANTI,GUELFI,
BELMOSTO,NOBILI,GUELFI,USODIMARE
BENEGASSI,MERCANTI,GHIBELLINI,
BERNISSONI,NOBILI,GUELFI,
BESACCIA,NOBILI,GHIBELLINI,CICALA
