Name,Year,Class,Source
Giacomo Grillo,---,,
Lazarotto de Castro,1356–57,,
Bartolomeo Rubeo,1357–58,,
,1358–59,,
,1359–60,,
,1360–61,,
,1361–62,,
,1362–63,,
,1363–64,,
,1364–65,,
,1365–66,,
,1366–67,,
Tommaso de Iglione,1367–68,,
,1369–70,,
,1370–71,,
,1371–72,,
,1372–73,,
,1373–74,,
,1374–75,,
,1375–76,,
Bartolomeo Pindeben de Vernazza,1376–77,artefices,"Vincenzo Promis, ed., “Statuti della colonia di Pera,” Miscellanea di storia italiana 1ª serie, 11 (1871), pp. 518–9."
,1378–79,,
Luciano di Negro,1379–80,nobiles,Stella p. 177
Antonio Bracelli,1380–81,mercantes,
,1381–82,,
Lorenzo Gentile,1382–83,nobiles,"Vincenzo Promis, ed., “Statuti della colonia di Pera,” Miscellanea di storia italiana 1ª serie, 11 (1871), pp. 518–9."
,1383–84,,
,1384–85,,
Eliano Camilla,1385–86,nobiles,"Balard, Romanie, 92–3."
Raffaele Doria,1386–87,nobiles,
Giovanni de Mezzano,1387–88,,"Vincenzo Promis, ed., “Statuti della colonia di Pera,” Miscellanea di storia italiana 1ª serie, 11 (1871), pp. 518–9."
Pietro Usodimare,1388–89,nobiles,"ASG. Not. Donato di Chiavari 1389, doc. n° 5"
Antonio Leardi,1389–90,artefices,
Domenico Doria,1390–91,nobiles,
Niccolò de Zoagli,1391–92,artefices,"ASG. Peire Massaria 1391, f. 171."
Dorino Usodimare,1392–93,nobiles,"Massaria 1391, f. 65"
,1393–94,,
,1394–95,,
,1395–96,,
Luchino de Bonaveii,1396–97,,
Gentile Grimaldi,1397–98,nobiles,"Vincenzo Promis, ed., “Statuti della colonia di Pera,” Miscellanea di storia italiana 1ª serie, 11 (1871), pp. 518–9."
,1398–99,,
,1399–1400,,
,1400–01,,
,1401–02,,
Bartolomeo de Rubeo,1402–03,mercantes,"ASG. Sindicamenta Peire 1402, reg. n° 2, ff. 16 r et 40 r."
Gianotto Lomellini,1403–04,nobiles,served for eight months
Bartolomeo Mallone,1404,,temporary
Giovanni Botto,1404,,temporary
Giovanni Sauli,1404–05,,
Napoleone Salvagi,1405–06,nobiles,
,1406–07,,
,1407–08,,
,1408–09,,
,1409–10,,
Quilico de Taddei,1410–11,,
Tommaso Campofregoso,1411–12,mercantes,
Andrea Adorno,1412–13,,
Corrado Cicala,1413–14,,
,1414–15,,
,1415–16,,
Spinetta Campofregoso,1416–17,,"Prima serie, p.184"
Pietro Fieschi,1417–18,,"ASCGe, Manoscritti 440, fol. 141."
Tedisio Doria,1418–19,,
,1419–20,,
,1420–21,,
,1421–22,,
,1422–23,,
Zaccaria Spinola,1423–24,,
,1424–25,,
Imperiale Lomellini,1425–26,,
Taddeo de Zoagli,1426–27,,
Gianotto Spinola,1427–28,,
,1428–29,,
,1429–30,,
Filippo de Franchi,1430–31,mercantes,"Vincenzo Promis, ed., “Statuti della colonia di Pera,” Miscellanea di storia italiana 1ª serie, 11 (1871), pp. 518–9."
,1431–32,,
Illario Imperiale,1432–33,,
Boruelle Grimaldi,1433–34,nobiles,"Vincenzo Promis, ed., “Statuti della colonia di Pera,” Miscellanea di storia italiana 1ª serie, 11 (1871), pp. 518–9."
Agostino de Montaldo,1434–35,,
Stefano de Marini,1435–36,,
Baldassare Maruffo,1436–37,mercantes,"Vincenzo Promis, ed., “Statuti della colonia di Pera,” Miscellanea di storia italiana 1ª serie, 11 (1871), pp. 518–9."
,1437–38,,
Giovanni de Levanto,1438–39,,
Simone Mascie,1439–40,,
Niccolò Antonio Spinola,1440–41,,
Niccolò Antonio Spinola,1441–42,,
,1442–43,,
Boruelle Grimaldi,1443–44,,
,1444–45,,
Baldassare Maruffo,1445–46,mercantes,"Cyriac of Ancona, Later Travels (Cambridge: Harvard University Press, 2003), p. 256–7."
Luchino de Facio,1446–47,artefices,"Vincenzo Promis, ed., “Statuti della colonia di Pera,” Miscellanea di storia italiana 1ª serie, 11 (1871), pp. 518–9."
Pietro de Marci,1447–48,,
Benedetto Vivaldi,1448–49,nobiles,
Francesco Cavallo,1449–50,,
,1450–51,,
Francesco Giustiniani,1451–52,mercantes,
Angelo Lomellini,1452–53,nobiles,"Vincenzo Promis, ed., “Statuti della colonia di Pera,” Miscellanea di storia italiana 1ª serie, 11 (1871), pp. 518–9."
Angelo Zaccaria,1453–54,,
,,,
,,,
,,,
,,,
,,,
,,,
